respondent_id,h1n1_vaccine,seasonal_vaccine
26707,0.15,0.12
26708,0.02,0.01
26709,0.7,0.82
26710,0.71,0.9
26711,0.38,0.63
26712,0.6,0.94
26713,0.66,0.56
26714,0.11,0.05
26715,0.02,0.06
26716,0.18,0.88
26717,0.02,0.61
26718,0.44,0.6
26719,0.16,0.88
26720,0.01,0.28
26721,0.43,0.5
26722,0.17,0.09
26723,0.74,0.92
26724,0.05,0.76
26725,0.09,0.14
26726,0.06,0.06
26727,0.36,0.62
26728,0.24,0.41
26729,0.03,0.52
26730,0.02,0.25
26731,0.02,0.44
26732,0.08,0.2
26733,0.92,0.89
26734,0.62,0.38
26735,0.28,0.47
26736,0.05,0.13
26737,0.03,0.07
26738,0.77,0.62
26739,0.08,0.16
26740,0.28,0.05
26741,0.26,0.96
26742,0.03,0.48
26743,0.02,0.37
26744,0.09,0.76
26745,0.29,0.75
26746,0.19,0.26
26747,0.13,0.06
26748,0.35,0.11
26749,0.03,0.65
26750,0.76,0.93
26751,0.58,0.97
26752,0.11,0.23
26753,0.08,0.38
26754,0.27,0.17
26755,0.17,0.3
26756,0.03,0.06
26757,0.5,0.75
26758,0.52,0.74
26759,0.0,0.18
26760,0.02,0.04
26761,0.42,0.48
26762,0.17,0.77
26763,0.77,0.88
26764,0.88,0.85
26765,0.03,0.43
26766,0.07,0.11
26767,0.75,0.71
26768,0.02,0.54
26769,0.26,0.24
26770,0.29,0.54
26771,0.14,0.49
26772,0.05,0.49
26773,0.04,0.31
26774,0.08,0.4
26775,0.03,0.53
26776,0.48,0.41
26777,0.14,0.79
26778,0.26,0.12
26779,0.11,0.63
26780,0.39,0.98
26781,0.02,0.54
26782,0.03,0.07
26783,0.0,0.44
26784,0.24,0.95
26785,0.4,0.58
26786,0.04,0.23
26787,0.14,0.36
26788,0.03,0.95
26789,0.04,0.18
26790,0.02,0.25
26791,0.08,0.2
26792,0.12,0.66
26793,0.17,0.99
26794,0.84,0.8
26795,0.21,0.75
26796,0.0,0.01
26797,0.21,0.55
26798,0.5,0.29
26799,0.34,0.51
26800,0.05,0.81
26801,0.22,0.18
26802,0.12,0.17
26803,0.03,0.21
26804,0.01,0.01
26805,0.06,0.37
26806,0.16,0.98
26807,0.72,0.74
26808,0.25,0.47
26809,0.5,0.09
26810,0.08,0.21
26811,0.02,0.03
26812,0.36,0.4
26813,0.41,0.25
26814,0.0,0.84
26815,0.01,0.04
26816,0.05,0.13
26817,0.09,0.74
26818,0.07,0.19
26819,0.23,0.36
26820,0.08,0.23
26821,0.18,0.76
26822,0.22,0.82
26823,0.21,0.27
26824,0.02,0.62
26825,0.52,0.6
26826,0.13,0.83
26827,0.03,0.15
26828,0.17,0.29
26829,0.46,0.93
26830,0.03,0.95
26831,0.4,0.75
26832,0.08,0.93
26833,0.07,0.53
26834,0.29,0.71
26835,0.64,0.71
26836,0.29,0.74
26837,0.12,0.08
26838,0.04,0.56
26839,0.28,0.55
26840,0.11,0.21
26841,0.42,0.61
26842,0.14,0.16
26843,0.07,0.09
26844,0.05,0.44
26845,0.02,0.56
26846,0.07,0.76
26847,0.31,0.25
26848,0.05,0.71
26849,0.19,0.42
26850,0.57,0.59
26851,0.02,0.0
26852,0.01,0.01
26853,0.53,0.44
26854,0.0,0.07
26855,0.7,0.87
26856,0.18,0.01
26857,0.49,0.37
26858,0.06,0.33
26859,0.04,0.09
26860,0.13,0.13
26861,0.02,0.06
26862,0.03,0.37
26863,0.3,0.44
26864,0.31,0.38
26865,0.23,0.02
26866,0.23,0.51
26867,0.05,0.14
26868,0.82,0.8
26869,0.08,0.3
26870,0.83,0.86
26871,0.1,0.07
26872,0.21,0.62
26873,0.1,0.81
26874,0.02,0.09
26875,0.61,0.89
26876,0.12,0.03
26877,0.22,0.16
26878,0.18,0.37
26879,0.04,0.09
26880,0.21,0.23
26881,0.02,0.02
26882,0.02,0.03
26883,0.08,0.24
26884,0.11,0.24
26885,0.29,0.89
26886,0.1,0.9
26887,0.45,0.89
26888,0.93,0.94
26889,0.01,0.08
26890,0.24,0.62
26891,0.84,0.86
26892,0.17,0.2
26893,0.01,0.02
26894,0.19,0.23
26895,0.01,0.95
26896,0.02,0.0
26897,0.07,0.43
26898,0.35,0.68
26899,0.14,0.14
26900,0.02,0.3
26901,0.1,0.5
26902,0.25,0.79
26903,0.18,0.13
26904,0.07,0.44
26905,0.38,0.93
26906,0.01,0.31
26907,0.01,0.53
26908,0.26,0.87
26909,0.2,0.06
26910,0.14,0.37
26911,0.08,0.35
26912,0.31,0.89
26913,0.89,0.92
26914,0.05,0.25
26915,0.28,0.84
26916,0.14,0.44
26917,0.13,0.36
26918,0.96,1.0
26919,0.32,0.62
26920,0.01,0.07
26921,0.16,0.91
26922,0.04,0.9
26923,0.3,0.6
26924,0.91,0.97
26925,0.03,0.77
26926,0.51,0.53
26927,0.36,0.56
26928,0.11,0.43
26929,0.01,0.18
26930,0.52,0.9
26931,0.23,0.48
26932,0.12,0.91
26933,0.13,0.68
26934,0.54,0.82
26935,0.1,0.4
26936,0.29,0.41
26937,0.53,0.72
26938,0.04,0.03
26939,0.01,0.06
26940,0.03,0.22
26941,0.06,0.39
26942,0.52,0.77
26943,0.26,0.68
26944,0.04,0.08
26945,0.08,0.5
26946,0.12,0.78
26947,0.19,0.6
26948,0.02,0.03
26949,0.0,0.02
26950,0.09,0.68
26951,0.09,0.41
26952,0.78,0.73
26953,0.53,0.95
26954,0.03,0.06
26955,0.09,0.79
26956,0.05,0.21
26957,0.03,0.96
26958,0.2,0.71
26959,0.09,0.25
26960,0.0,0.05
26961,0.36,0.35
26962,0.11,0.78
26963,0.13,0.51
26964,0.03,0.15
26965,0.76,0.96
26966,0.02,0.07
26967,0.29,0.54
26968,0.14,0.82
26969,0.14,0.16
26970,0.58,0.43
26971,0.09,0.03
26972,0.07,0.02
26973,0.14,0.13
26974,0.13,0.28
26975,0.09,0.49
26976,0.86,0.53
26977,0.0,0.5
26978,0.01,0.76
26979,0.58,0.84
26980,0.04,0.1
26981,0.13,0.32
26982,0.65,0.78
26983,0.35,0.51
26984,0.04,0.21
26985,0.07,0.18
26986,0.01,0.38
26987,0.0,0.32
26988,0.02,0.21
26989,0.37,0.73
26990,0.05,0.19
26991,0.22,0.33
26992,0.33,0.47
26993,0.1,0.94
26994,0.07,0.17
26995,0.21,0.22
26996,0.32,0.43
26997,0.17,0.16
26998,0.23,0.13
26999,0.31,0.42
27000,0.1,0.34
27001,0.07,0.85
27002,0.08,0.53
27003,0.01,0.06
27004,0.13,0.27
27005,0.57,0.72
27006,0.81,0.93
27007,0.02,0.17
27008,0.13,0.01
27009,0.01,0.08
27010,0.03,0.09
27011,0.16,0.1
27012,0.3,0.47
27013,0.09,0.73
27014,0.08,0.42
27015,0.22,0.16
27016,0.06,0.19
27017,0.46,0.98
27018,0.04,0.06
27019,0.95,0.96
27020,0.33,0.31
27021,0.11,0.49
27022,0.22,0.32
27023,0.14,0.13
27024,0.12,0.4
27025,0.36,0.06
27026,0.18,0.67
27027,0.12,0.83
27028,0.37,0.83
27029,0.02,0.42
27030,0.26,0.18
27031,0.47,0.66
27032,0.22,0.76
27033,0.29,0.6
27034,0.1,0.45
27035,0.06,0.3
27036,0.12,0.61
27037,0.35,0.67
27038,0.0,0.01
27039,0.7,0.88
27040,0.23,0.17
27041,0.17,0.52
27042,0.0,0.55
27043,0.61,0.61
27044,0.05,0.04
27045,0.06,0.66
27046,0.01,0.1
27047,0.57,0.38
27048,0.23,0.59
27049,0.36,0.75
27050,0.0,0.68
27051,0.1,0.19
27052,0.15,0.28
27053,0.82,0.92
27054,0.13,0.05
27055,0.06,1.0
27056,0.23,0.07
27057,0.04,0.1
27058,0.8,0.9
27059,0.01,0.04
27060,0.0,0.28
27061,0.13,0.54
27062,0.11,0.52
27063,0.01,0.58
27064,0.15,0.63
27065,0.06,0.38
27066,0.03,0.43
27067,0.59,0.87
27068,0.9,0.93
27069,0.61,0.85
27070,0.08,0.14
27071,0.16,0.12
27072,0.35,0.57
27073,0.13,0.94
27074,0.03,0.25
27075,0.68,0.65
27076,0.48,0.46
27077,0.0,0.11
27078,0.23,0.75
27079,0.51,0.72
27080,0.1,0.31
27081,0.12,0.61
27082,0.43,0.48
27083,0.02,0.06
27084,0.65,0.53
27085,0.04,0.06
27086,0.13,0.15
27087,0.12,0.25
27088,0.24,0.77
27089,0.16,0.04
27090,0.09,0.81
27091,0.52,0.37
27092,0.09,0.22
27093,0.14,0.29
27094,0.01,0.07
27095,0.25,0.7
27096,0.26,0.16
27097,0.35,0.81
27098,0.6,0.85
27099,0.25,0.45
27100,0.36,0.85
27101,0.23,0.66
27102,0.07,0.79
27103,0.01,0.08
27104,0.08,0.49
27105,0.27,0.3
27106,0.78,0.93
27107,0.35,0.68
27108,0.19,0.32
27109,0.14,0.16
27110,0.05,0.34
27111,0.03,0.31
27112,0.39,0.6
27113,0.02,0.03
27114,0.01,0.18
27115,0.56,0.6
27116,0.19,0.96
27117,0.0,0.06
27118,0.12,0.59
27119,0.21,0.43
27120,0.05,0.98
27121,0.01,0.81
27122,0.11,0.4
27123,0.04,0.08
27124,0.14,0.23
27125,0.07,0.08
27126,0.31,0.22
27127,0.07,0.15
27128,0.18,0.45
27129,0.3,0.62
27130,0.2,0.31
27131,0.03,0.03
27132,0.46,0.97
27133,0.13,0.58
27134,0.72,0.98
27135,0.13,0.52
27136,0.02,0.66
27137,0.24,0.22
27138,0.16,0.42
27139,0.22,0.06
27140,0.93,0.95
27141,0.66,0.84
27142,0.04,0.26
27143,0.25,0.41
27144,0.07,0.07
27145,0.72,0.82
27146,0.11,0.83
27147,0.02,0.24
27148,0.2,0.07
27149,0.22,0.06
27150,0.48,0.87
27151,0.1,0.79
27152,0.01,0.15
27153,0.05,0.74
27154,0.62,0.89
27155,0.15,0.8
27156,0.02,0.15
27157,0.05,0.54
27158,0.05,0.3
27159,0.01,0.05
27160,0.43,0.38
27161,0.35,0.53
27162,0.23,0.92
27163,0.65,0.71
27164,0.32,0.32
27165,0.6,0.56
27166,0.16,0.11
27167,0.03,0.61
27168,0.23,0.59
27169,0.42,0.66
27170,0.39,0.84
27171,0.02,0.24
27172,0.08,0.79
27173,0.23,0.46
27174,0.26,0.15
27175,0.06,0.17
27176,0.64,0.97
27177,0.76,0.75
27178,0.1,0.33
